Model,Price,資費
SAMSUNG Galaxy S20 Ultra 5G 16G 512G SM-G9880,"47,900","$ 11,990"
SAMSUNG Galaxy S20 Ultra 5G 12G 256G SM-G9880,"43,900","$ 8,990"
SAMSUNG Galaxy S20+ 5G 12G 128G SM-G9860,"36,900","$ 2,990"
SAMSUNG Galaxy S20 5G 12G 128G SM-G9810,"32,900",$ 0
HTC Desire 19s (4G 64G),"6,990",$ 0
SAMSUNG Galaxy Z Flip 8G 256G,"48,880","$ 17,880"
SAMSUNG Galaxy A71,"15,990",$ 0
SAMSUNG Galaxy Note10 Lite 8G 128G,"20,990",$ 0
SAMSUNG Galaxy A51,"12,990",$ 0
ASUS Zenfone 6 (ZS630KL) 8G 512G,"21,990",$ 0
LG G8X,"24,900",$ 0
紅米 Note 8T 3G 32G,"4,599",$ 0
vivo Y12,"4,990",$ 0
realme XT 8G 128G,"7,990",$ 0
OPPO Reno2 Z,"13,990",$ 0
紅米 Note8 Pro 6G 128G,"7,599",$ 0
SAMSUNG Galaxy A30s,"8,990",$ 0
OPPO A5 2020,"8,490",$ 0
OPPO A9 2020 8G 128G,"10,490",$ 0
Sony Xperia 5,"25,990",$ 0
iPhone 11 Pro Max 256GB,"45,400","$ 9,800"
iPhone 11 Pro 64GB,"35,900",$ 300
iPhone 11 Pro Max 512GB,"52,400","$ 16,800"
iPhone 11 Pro 512GB,"48,400","$ 12,800"
iPhone 11 Pro Max 64GB,"39,900","$ 4,300"
iPhone 11 128GB,"26,900",$ 0
iPhone 11 Pro 256GB,"41,400","$ 5,800"
iPhone 11 64GB,"24,900",$ 0
iPhone 11 256GB,"30,400",$ 0
iPhone 8 128GB,"17,900",$ 0
iPhone 8 Plus 128GB,"21,900",$ 0
SAMSUNG Galaxy Note10+ 12G 256G,"36,900","$ 1,990"
SAMSUNG Galaxy Note10 8G 256G,"31,900",$ 0
LG Q60,"4,990",$ 0
HTC U19e 6G 128G,"14,900",$ 0
Sony Xperia 1,"30,990",$ 0
ASUS Zenfone 6 (ZS630KL) 6G 128G,"17,990",$ 0
ASUS ZenFone Live L2(ZA550KL) 2G 16G,"4,490",$ 0
OPPO AX5s 4G 64G,"7,990",$ 0
ASUS ZenFone Max (M2) (ZB633KL) 4G 64G,"7,990",$ 0
SAMSUNG Galaxy A20,"5,990",$ 0
SAMSUNG Galaxy S10+ 8G 128G,"32,900",$ 0
iPhone XR 128GB,"23,500",$ 0
iPhone XR 256GB,"27,100",$ 0
iPhone XR 64GB,"21,500",$ 0
iPhone XS 64GB,"32,900",$ 0
iPhone XS 256GB,"38,500",$ 0
iPhone XS 512GB,"45,900",$ 0
iPhone XS Max 64GB,"35,900",$ 0
iPhone XS Max 256GB,"41,500",$ 0
iPhone XS Max 512GB,"48,900","$ 1,300"
SUGAR Y12s,"3,990",$ 0
ASUS ZenFone 5Z(ZS620KL) 6G 128G,"16,990",$ 0
HTC U12+ 6G 128G,"16,900",$ 0
Hugiga L66,"3,290",$ 0
INHON L30,"3,490",$ 0
iPhone 8 Plus 256GB,"25,500",$ 0
iPhone 8 Plus 64GB,"19,900",$ 0
iPhone 8 64GB,"15,900",$ 0
iPhone 8 256GB,"21,500",$ 0
iPhone 7 32GB,"12,500",$ 0
iPhone 7 Plus 32GB,"14,300",$ 0
iPhone 7 Plus 128GB,"16,100",$ 0
iPhone 7 128GB,"14,300",$ 0
SUGAR Y18,"3,990",$ 0
HTC Desire 19s (3G 32G),"5,990",$ 0
OPPO Reno 10倍變焦版 12G 256G,"24,990",$ 0
OPPO Reno2,"17,990",$ 0
OPPO Reno 10倍變焦版 6G 128G,"19,990",$ 0
OPPO Reno 10倍變焦版 8G 256G,"24,990",$ 0
HUAWEI Y6 Pro 2019,"4,490",$ 0
Sony Xperia L3,"5,990",$ 0
ASUS E203MA 珍珠白,"8,990",$ 0
ASUS E203MA 櫻花粉,"8,990",$ 0
ACER X514-51,"29,900",$ 0
iPad 10.2 WiFi 128GB(2019),"13,900",$ 0
iPad 10.2 LTE 32GB(2019),"15,400",$ 0
iPad 10.2 WiFi 32GB(2019),"10,900",$ 0
iPad 10.2 LTE 128GB(2019),"18,400",$ 0
ASUS X512FB(i5-8265U) 4G 256G+1TB,"25,500",$ 0
ASUS X507MA(N4100) 4G 128G+500G,"14,900",$ 0
ACER PS548 8G 256G,"22,900",$ 0
SAMSUNG Galaxy Tab A 8.0 2019 LTE (T295),"5,490",$ 0
SAMSUNG Galaxy Tab A 8 with S-Pen LTE (P205),"9,900",$ 0
SAMSUNG Galaxy Tab A 8 With S Pen Wifi (P200),"7,990",$ 0
iPad mini LTE 256GB(2019),"22,400",$ 0
iPad mini WiFi 256GB(2019),"17,900",$ 0
iPad mini WiFi 64GB(2019),"12,900",$ 0
iPad mini LTE 64GB(2019),"17,400",$ 0
iPad Air WiFi 256GB(2019),"21,900",$ 0
iPad Air LTE 64GB(2019),"21,400",$ 0
iPad Air WiFi 64GB(2019),"16,900",$ 0
iPad Air LTE 256GB(2019),"26,400",$ 0
SAMSUNG Galaxy Tab A 10.1 Wifi (T510),"7,990",$ 0
SAMSUNG Galaxy Tab A 10.1 LTE (T515),"9,900",$ 0
iPad Pro 12.9 (3rd) WiFi 256GB,"38,900","$ 9,490"
iPad Pro 11.0 WiFi 256GB,"31,900","$ 2,490"
NB-Microsoft Surface Go 4415Y 8G 128G (不含鍵盤&筆) 銀 10吋,"17,488",$ 0
伊萊克斯完美管家充電式二合一吸塵器 ZB3302AK,"10,900",$ 0
LG PuriCare WIFI 360空氣清淨機 AS551DWS0,"19,900",$ 0
伊萊克斯瑞典高效能抗菌空氣清淨機 PA91-406GY,"24,900",$ 0
伊萊克斯 玻璃壺果汁機 EBR3546,"2,490",$ 0
Panasonic DC扇經典型電風扇 F-S16DMD,"3,190",$ 0
LG AP151MBA1隨身淨空氣清淨機 黑,"7,990",$ 0
LG AP151MWA1隨身淨空氣清淨機,"7,990",$ 0
象印 NL-AAF18 10人份微電腦電子鍋,"10,000",$ 0
AOC 32型 LED液晶顯示器 32M3082,"4,990",$ 0
COWAY AP-1512HH 旗艦環禦型空氣清淨機,"16,900",$ 0
象印 10人份IH電子鍋 NH-VCF18,"16,150",$ 0
Panasonic F-Y24GX W-HEXS 12公升高效能除濕機,"13,890",$ 0
中華電信i寶貝智慧音箱-Lucia mini,"2,490",$ 0
PHILIPS HD9348 1200W 1L 不鏽鋼電快煮壺,"1,588",$ 0
AIWA愛華 3人份迷你電子鍋 RC3,"1,680",$ 0
PHILIPS HD2584 電子式智慧型厚片烤麵包機,"1,280",$ 0
Panasonic EH-NA9B 奈米水離子吹風機,"5,690",$ 0
PHILIPS 日本原裝龍頭型淨水器 WP3861,"1,699",$ 0
TESCOM TCD3000TW 奈米水霧膠原蛋白吹風機,"2,990",$ 0
德國百靈 Oral-B 3D敏感護齦電動牙刷 PRO2000,"3,490",$ 0
PANASONIC 32L雙溫控發酵電烤箱 NB-H3203,"3,790",$ 0
中華電信i寶貝智慧音箱 Lucia,"7,990",$ 0
PANASONIC 32L變頻微波爐 NN-ST67J,"6,990",$ 0
PANASONIC LOVEEYE L系列輕盈智慧檯燈,"1,460",$ 0
LG PuriCare 17L變頻除濕機,"18,490",$ 0
DYSON V8 FLUFFY SV10 無線吸塵器,"15,900",$ 0
Dyson Airwrap Complete 美髮造型神器旗艦款,"17,600",$ 0
Dyson Pure Hot+Cool 三合一涼暖空氣清淨機 白,"18,888",$ 0
DYSON V11 Torque Drive SV14 無線吸塵器,"24,900",$ 0
NORTHERN北方 直立式陶瓷遙控電暖器,"4,290",$ 0
象印 超級真空保溫熱水瓶,"5,390",$ 0
Dyson Supersonic 吹風機 HD03,"14,600",$ 0
Electrolux PA91-606 瑞典高效能抗菌空氣清淨機,"27,900",$ 0
伊萊克斯ZB3104完美管家渦輪鋰電版吸塵器,"10,900",$ 0
PHILIPS 渦輪氣旋健康氣炸鍋 HD9642,"8,990",$ 0
Electrolux 溫控電茶壺 EEK7804S,"5,290",$ 0
PANASONIC NN-ST34H 25L微電腦微波爐,"3,790",$ 0
PANASONIC 全自動研磨美式咖啡機 NC-R600,"4,290",$ 0
PANASONIC 15L蒸氣烘烤爐 NU-SC110,"10,490",$ 0
PANASONIC SR-JMN188 日本製10人份微電腦電子鍋,"4,590",$ 0
COWAY AP-1009CH 加護抗敏型空氣清淨機,"9,900",$ 0
日本IRIS IC-FAC2 3.0雙氣旋智能除蹣吸塵器,"3,990",$ 0
中華電信i寶貝智慧音箱MS2806,"5,990",$ 0
伊萊克斯ZB3107完美管家渦輪鋰電版吸塵器,"10,900",$ 0
One amadana STWM-0101 微波爐,"1,990",$ 0
德國百靈BRAUN 三鋒系列電鬍刀 3010s,"3,288",$ 0
PHILIPS 三刀頭水洗電鬍刀 S3120,"3,688",$ 0
Garmin Vivomove 3 智慧手錶,"8,490",$ 0
藍牙耳機SONY WF-1000XM3,"7,490",$ 0
AirPods Pro 藍芽耳機,"7,990",$ 0
Apple Watch S3 LTE 38mm 太空灰色鋁金屬-Nike 運動型錶帶,"12,500",$ 0
Apple Watch S3 LTE 38mm 太空灰色鋁金屬-黑色運動型錶帶,"12,500",$ 0
Apple Watch S3 LTE 42mm 銀色鋁金屬-白色運動型錶帶,"13,500",$ 0
Apple Watch S3 LTE 38mm 銀色鋁金屬-白色運動型錶帶,"12,500",$ 0
Apple Watch S3 LTE 42mm 太空灰色鋁金屬-黑色運動型錶帶,"13,500",$ 0
Galaxy Watch Active2 GPS藍牙智慧手錶 (R830),"9,500",$ 0
HTC VIVE COSMOS,"22,900",$ 0
Apple Watch S5 LTE 44mm,"17,900",$ 0
Apple Watch S5 LTE 44mm,"17,900",$ 0
Apple Watch S5 LTE 40mm,"16,900",$ 0
Galaxy Watch Active2 GPS藍牙智慧手錶 鋁製 44mm (R820),"10,500",$ 0
Galaxy Watch Active2 GPS藍牙智慧手錶 不鏽鋼 44mm,"13,500",$ 0
Apple Watch S3 GPS 38mm,"6,400",$ 0
Apple Watch S3 GPS 42mm,"7,400",$ 0
藍芽手錶 Huawei Watch GT,"6,990",$ 0
EPSON 智慧眼鏡 BT-30C,"15,600",$ 0
Apple Watch S5 GPS 44mm,"14,400",$ 0
Apple Watch S5 GPS 44mm,"14,400",$ 0
Apple Watch S5 GPS 40mm,"13,400",$ 0
AirPods 搭配無線充電盒(2019),"6,490",$ 0
藍牙智慧手環Samsung Galaxy Fit,"3,880",$ 0
藍牙手錶Samsung Galaxy Watch Active-GPS,"6,990",$ 0
Apple Watch S4 LTE 40mm,"16,500",$ 0
Apple Watch S4 LTE 44mm,"17,500",$ 0
HTC VIVE FOCUS plus,"25,900",$ 0
D-Link DWM-222 4G數據卡,"2,599",$ 0
ZYXEL LTE-WAH7706 4G行動分享器,"3,999",$ 0
ACER LTE-R1S 寬頻分享器,"3,690",$ 0
